"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1991-12",99.32859,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1992-01",99.28143,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1992-02",99.39841,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1992-03",99.59283,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1992-04",99.72671,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1992-05",99.76986,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1992-06",99.70871,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1992-07",99.5491,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1992-08",99.36298,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1992-09",99.20288,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1992-10",99.16486,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1992-11",99.31596,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1992-12",99.48206,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1993-01",99.56176,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1993-02",99.56575,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1993-03",99.55803,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1993-04",99.53687,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1993-05",99.4341,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1993-06",99.29406,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1993-07",99.18363,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1993-08",99.14092,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1993-09",99.15102,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1993-10",99.21392,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1993-11",99.33533,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1993-12",99.57544,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1994-01",99.81803,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1994-02",99.94485,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1994-03",100.0086,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1994-04",100.0971,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1994-05",100.2023,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1994-06",100.3027,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1994-07",100.4384,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1994-08",100.595,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1994-09",100.7193,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1994-10",100.7972,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1994-11",100.8374,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1994-12",100.8745,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1995-01",100.8896,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1995-02",100.8185,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1995-03",100.7084,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1995-04",100.6705,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1995-05",100.6792,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1995-06",100.745,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1995-07",100.7764,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1995-08",100.7249,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1995-09",100.5805,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1995-10",100.4689,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1995-11",100.4091,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1995-12",100.4143,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1996-01",100.4565,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1996-02",100.5332,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1996-03",100.6359,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1996-04",100.6616,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1996-05",100.6401,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1996-06",100.6489,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1996-07",100.676,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1996-08",100.7042,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1996-09",100.7134,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1996-10",100.7142,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1996-11",100.6917,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1996-12",100.6282,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1997-01",100.5833,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1997-02",100.6056,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1997-03",100.6852,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1997-04",100.8167,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1997-05",100.974,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1997-06",101.1182,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1997-07",101.2093,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1997-08",101.2069,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1997-09",101.1519,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1997-10",101.0699,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1997-11",101.0129,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1997-12",100.978,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1998-01",101.0285,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1998-02",101.0639,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1998-03",101.0156,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1998-04",100.9474,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1998-05",100.8507,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1998-06",100.7528,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1998-07",100.6919,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1998-08",100.6632,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1998-09",100.6531,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1998-10",100.6855,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1998-11",100.7768,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1998-12",100.8706,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1999-01",101.0123,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1999-02",101.0963,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1999-03",101.0669,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1999-04",101.0372,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1999-05",101.0816,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1999-06",101.1668,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1999-07",101.23,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1999-08",101.2845,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1999-09",101.3429,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1999-10",101.4014,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1999-11",101.5024,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","1999-12",101.6255,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2000-01",101.7537,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2000-02",101.782,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2000-03",101.7375,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2000-04",101.7117,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2000-05",101.6986,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2000-06",101.6747,
"G-20","CCI","AMPLITUD","LTRENDIDX","M","2000-07",101.6812,
