"Date","Price","Open","High","Low","Vol.","Change %"
"07/20/1995","461.00","455.50","464.00","455.50","5.16K","1.93%"
"07/19/1995","452.25","446.00","456.50","445.50","1.12K","-0.28%"
"07/18/1995","453.50","460.00","461.00","452.00","0.63K","-1.52%"
"07/17/1995","460.50","457.00","467.00","450.00","0.96K","4.42%"
"07/14/1995","441.00","434.00","446.50","434.00","0.98K","2.14%"
"07/13/1995","431.75","426.00","435.00","425.50","0.61K","1.53%"
"07/12/1995","425.25","427.00","434.00","425.00","0.50K","0.29%"
"07/11/1995","424.00","415.00","426.00","413.50","0.59K","2.35%"
"07/10/1995","414.25","420.00","425.00","413.50","1.09K","-1.49%"
"07/07/1995","420.50","430.50","432.50","420.00","1.75K","-2.61%"
"07/06/1995","431.75","422.00","435.50","421.00","2.12K","2.01%"
"07/05/1995","423.25","433.50","433.50","422.00","3.06K","-2.53%"
"07/03/1995","434.25","445.00","445.00","433.50","2.24K","-6.46%"
"07/01/1995","464.25","445.00","480.50","413.50","82.43K","4.09%"
"06/30/1995","446.00","451.00","451.00","439.00","5.10K","-0.34%"
"06/29/1995","447.50","442.00","452.00","437.00","10.67K","1.99%"
"06/28/1995","438.75","420.00","439.00","419.00","8.72K","4.71%"
"06/27/1995","419.00","423.50","424.00","413.50","10.45K","-1.06%"
"06/26/1995","423.50","420.00","441.00","416.00","9.37K","0.12%"
"06/23/1995","423.00","411.50","426.00","408.00","9.95K","3.11%"
"06/22/1995","410.25","398.00","416.00","396.00","15.98K","3.14%"
"06/21/1995","397.75","388.00","398.50","386.00","","2.12%"
"06/20/1995","389.50","391.00","392.00","386.00","9.10K","-0.76%"
"06/19/1995","392.50","384.00","395.00","384.00","11.65K","3.15%"
"06/16/1995","380.50","378.00","382.75","378.00","9.55K","-1.04%"
"06/15/1995","384.50","386.50","392.00","383.00","11.71K","-0.58%"
"06/14/1995","386.75","379.50","389.50","379.00","13.32K","2.04%"
"06/13/1995","379.00","370.00","379.50","369.25","13.56K","1.95%"
"06/12/1995","371.75","373.00","374.00","368.00","9.52K","-0.93%"
"06/09/1995","375.25","379.00","381.00","370.00","12.89K","-0.92%"
"06/08/1995","378.75","377.00","379.00","374.50","10.76K","1.41%"
"06/07/1995","373.50","380.50","382.00","372.50","14.38K","-2.23%"
"06/06/1995","382.00","384.00","387.50","377.00","11.81K","-0.97%"
"06/05/1995","385.75","385.00","390.00","384.25","8.99K","-0.06%"
"06/02/1995","386.00","385.50","390.00","383.75","11.21K","0.98%"
"06/01/1995","382.25","375.50","383.50","375.50","9.28K","2.41%"
"05/31/1995","373.25","374.25","375.25","370.00","8.80K","-0.07%"
"05/30/1995","373.50","380.00","382.50","373.00","9.49K","-3.11%"
"05/26/1995","385.50","377.50","387.50","377.50","10.84K","2.12%"
"05/25/1995","377.50","373.50","379.50","370.50","8.49K","0.80%"
"05/24/1995","374.50","373.00","376.00","371.75","7.22K","-0.07%"
"05/23/1995","374.75","369.00","381.00","369.00","15.20K","2.39%"
"05/22/1995","366.00","361.00","368.50","361.00","11.82K","-3.43%"
"05/19/1995","379.00","378.00","379.00","370.00","2.71K","2.71%"
"05/18/1995","369.00","363.00","369.00","360.50","0.25K","1.65%"
"05/17/1995","363.00","368.00","368.00","361.00","0.17K","-0.41%"
"05/16/1995","364.50","364.00","366.00","361.00","0.15K","-0.14%"
"05/15/1995","365.00","371.50","371.50","365.00","0.12K","-1.75%"
"05/12/1995","371.50","365.00","372.00","362.50","0.30K","1.30%"
"05/11/1995","366.75","367.50","369.00","365.00","0.10K","0.62%"
"05/10/1995","364.50","361.50","364.50","359.00","0.30K","0.55%"
"05/09/1995","362.50","363.50","364.50","360.00","0.18K","1.40%"
"05/08/1995","357.50","355.50","363.00","355.50","0.45K","1.42%"
"05/05/1995","352.50","354.00","354.50","351.00","0.28K","-1.19%"
"05/04/1995","356.75","358.50","360.00","356.00","0.41K","-0.49%"
"05/03/1995","358.50","356.00","359.00","355.00","0.33K","0.28%"
"05/02/1995","357.50","358.00","358.50","354.25","1.02K","0.35%"
"05/01/1995","356.25","352.00","358.00","352.00","0.54K","1.64%"
"04/28/1995","350.50","348.00","352.00","346.25","2.42K","0.50%"
"04/27/1995","348.75","352.00","355.00","348.00","3.75K","-1.41%"
"04/26/1995","353.75","353.00","356.75","352.75","2.83K","-0.07%"
"04/25/1995","354.00","353.50","357.50","352.50","3.73K","0.57%"
"04/24/1995","352.00","349.00","352.75","346.00","2.75K","0.36%"
"04/21/1995","350.75","352.00","352.50","349.00","1.73K","-0.28%"
"04/20/1995","351.75","349.00","352.75","349.00","1.23K","0.36%"
"04/19/1995","350.50","353.50","356.00","348.50","3.21K","-0.71%"
"04/18/1995","353.00","352.00","354.50","351.50","1.93K","0.71%"
"04/17/1995","350.50","355.00","355.00","349.00","1.62K","-0.85%"
"04/13/1995","353.50","352.50","355.00","350.50","3.70K","-0.28%"
"04/12/1995","354.50","355.00","358.75","353.50","4.59K","-1.12%"
"04/11/1995","358.50","353.00","359.00","352.50","7.36K","2.58%"
"04/10/1995","349.50","344.50","350.50","343.50","3.05K","1.23%"
"04/07/1995","345.25","349.00","351.50","345.00","3.03K","-1.29%"
"04/06/1995","349.75","354.00","354.00","349.25","2.22K","-0.85%"
"04/05/1995","352.75","347.50","354.50","347.00","4.83K","1.22%"
"04/04/1995","348.50","346.25","349.00","343.50","3.27K","0.80%"
"04/03/1995","345.75","341.00","347.00","340.50","3.21K","-1.36%"
"04/01/1995","350.50","341.00","359.00","340.50","60.49K","2.11%"
"03/31/1995","343.25","349.00","349.50","342.00","3.94K","-0.72%"
"03/30/1995","345.75","347.00","347.00","344.00","2.55K","-0.50%"
"03/29/1995","347.50","348.00","349.50","346.00","2.74K","-0.14%"
"03/28/1995","348.00","348.00","349.75","346.00","2.76K","-0.43%"
"03/27/1995","349.50","350.00","350.00","344.00","4.45K","-0.50%"
"03/24/1995","351.25","351.75","353.00","349.00","4.04K","-0.50%"
"03/23/1995","353.00","360.50","360.50","352.50","4.86K","-1.12%"
"03/22/1995","357.00","352.50","357.00","345.50","5.98K","1.13%"
"03/21/1995","353.00","358.00","359.00","352.00","0.07K","-1.40%"
"03/20/1995","358.00","351.50","359.00","351.50","0.05K","2.29%"
"03/17/1995","350.00","345.00","351.50","345.00","0.04K","1.38%"
"03/16/1995","345.25","351.00","351.00","343.50","0.35K","-1.64%"
"03/15/1995","351.00","350.00","353.00","348.00","0.20K","1.30%"
"03/14/1995","346.50","344.50","347.25","344.00","0.23K","0.80%"
"03/13/1995","343.75","344.75","345.50","339.50","0.38K","-0.36%"
"03/10/1995","345.00","348.00","351.50","344.00","0.70K","-2.06%"
"03/09/1995","352.25","357.00","357.00","349.50","1.07K","-2.08%"
"03/08/1995","359.75","367.00","367.00","357.75","1.28K","-2.04%"
"03/07/1995","367.25","358.00","368.00","356.75","1.86K","2.66%"
"03/06/1995","357.75","353.00","358.75","353.00","1.32K","2.07%"
"03/03/1995","350.50","351.00","355.00","350.00","1.05K","-0.07%"
"03/02/1995","350.75","353.50","354.75","349.00","2.23K","-0.78%"
"03/01/1995","353.50","349.75","357.50","349.25","5.00K","1.07%"
"02/28/1995","349.75","357.50","358.00","349.00","6.10K","-1.62%"
"02/27/1995","355.50","362.50","364.50","355.00","11.80K","-1.73%"
"02/24/1995","361.75","361.50","364.75","360.75","6.26K","0.07%"
"02/23/1995","361.50","361.00","364.25","360.00","7.59K","0.21%"
"02/22/1995","360.75","359.50","363.00","358.75","6.26K","0.07%"
"02/21/1995","360.50","366.00","366.00","360.00","8.13K","-1.70%"
"02/17/1995","366.75","367.00","368.00","365.00","4.76K","0.00%"
"02/16/1995","366.75","366.50","367.75","363.50","6.65K","0.14%"
"02/15/1995","366.25","370.75","371.00","365.00","10.39K","-1.35%"
"02/14/1995","371.25","371.75","374.00","369.50","4.68K","-0.13%"
"02/13/1995","371.75","375.00","376.50","370.25","6.42K","-1.26%"
"02/10/1995","376.50","369.25","378.00","369.25","11.88K","1.89%"
"02/09/1995","369.50","367.00","370.50","365.75","7.41K","0.27%"
"02/08/1995","368.50","373.50","374.75","368.00","8.74K","-1.27%"
"02/07/1995","373.25","370.00","374.00","369.75","5.50K","0.95%"
"02/06/1995","369.75","372.50","374.75","369.00","4.57K","-0.67%"
"02/03/1995","372.25","376.50","377.25","370.50","9.50K","-1.19%"
"02/02/1995","376.75","369.00","377.00","367.50","11.62K","1.69%"
"02/01/1995","370.50","373.50","376.00","370.25","7.51K","-0.80%"
"01/01/1995","373.50","400.50","402.75","363.25","231.87K","-6.97%"
"12/30/1994","401.50","404.50","406.00","400.00","","-0.37%"
"12/29/1994","403.00","406.00","406.00","402.00","","-0.98%"
"12/28/1994","407.00","407.50","409.50","405.75","","-0.31%"
"12/27/1994","408.25","406.50","409.75","405.75","","0.86%"
"12/23/1994","404.75","401.00","405.00","401.00","","1.25%"
"12/22/1994","399.75","397.00","400.00","396.00","","0.50%"
"12/21/1994","397.75","399.00","402.25","397.00","","3.58%"
"12/20/1994","384.00","382.50","384.00","380.50","","0.20%"
"12/19/1994","383.25","382.00","385.00","381.00","","0.99%"
"12/16/1994","379.50","371.00","379.50","371.00","","2.02%"
"12/15/1994","372.00","368.50","372.75","368.50","","1.16%"
"12/14/1994","367.75","372.00","372.25","366.25","","-1.28%"
"12/13/1994","372.50","378.75","378.75","372.00","","-1.84%"
"12/12/1994","379.50","378.50","380.00","377.25","","0.07%"
"12/09/1994","379.25","379.50","380.00","377.75","","0.07%"
"12/08/1994","379.00","375.00","381.00","375.00","","0.86%"
"12/07/1994","375.75","372.00","378.00","371.50","","0.87%"
"12/06/1994","372.50","373.00","374.25","371.00","","-0.93%"
"12/05/1994","376.00","380.00","380.00","374.75","","-0.86%"
"12/02/1994","379.25","380.00","380.50","376.25","","1.20%"
"12/01/1994","374.75","372.00","375.50","370.25","","0.67%"
"11/30/1994","372.25","362.50","373.50","359.50","","2.13%"
"11/29/1994","364.50","368.00","369.00","364.00","","-0.88%"
"11/28/1994","367.75","366.00","369.00","366.00","","0.62%"
"11/25/1994","365.50","365.00","367.50","363.25","","0.34%"
"11/23/1994","364.25","366.00","368.00","362.50","","-0.68%"
"11/22/1994","366.75","372.50","373.00","365.50","","-2.00%"
"11/21/1994","374.25","377.75","378.50","373.50","","-0.86%"
"11/18/1994","377.50","376.50","378.75","375.75","","0.60%"
"11/17/1994","375.25","373.75","376.00","372.50","","0.40%"
"11/16/1994","373.75","377.00","377.75","372.00","","-1.19%"
"11/15/1994","378.25","380.00","383.00","378.00","","-0.66%"
"11/14/1994","380.75","376.50","381.00","376.50","","0.99%"
"11/11/1994","377.00","378.00","378.75","375.25","","-0.46%"
"11/10/1994","378.75","379.00","382.00","378.25","","-0.39%"
"11/09/1994","380.25","385.50","386.00","378.25","","-1.68%"
